Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
5711,3907,92562478,2025_RMLH_877899_1,,,,,,,"New Delhi, Delhi, India",04-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5712,3908,92562561,2025_ISRO_812818_1,,,,,,,"Bangalore, Karnataka, India",08-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5713,3909,92562573,2025_AMB_812886_1,,,,,,,"Khordha, Orissa, India",03-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5714,3910,92563315,2025_DHS_452428_1,,,,,,,"Vidisha, Madhya Pradesh, India",02-10-2025,19-09-2025,,,,,,,,N/A,,0,,,,,
5715,3912,92563591,,,,,,,,"Bangalore, Karnataka, India",15-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5716,3913,92563903,GEM/2025/B/6677466,,,,,,,"Udhampur, Jammu And Kashmir, India",19-09-2025,,13,,,,,,,N/A,,0,,,,,
5717,3915,92564592,PI(EP)/25-26/G/01,,,,,,,"Chandigarh, Haryana, India",13-10-2025,,,,,,,,,N/A,,0,,,,,
5718,3916,92564656,PI(EP)/25-26/G/01,,,,,,,"Chandigarh, Haryana, India",14-10-2025,,,,,,,,,N/A,,0,,,,,
5719,3917,92564715,PI(EP)/25-26/G/01,,,,,,,"Chandigarh, Haryana, India",16-10-2025,,,,,,,,,N/A,,0,,,,,
5720,3918,92564942,PI(EP)/25-26/01,,,,,,,"Chandigarh, Haryana, India",07-10-2025,,,,,,,,,N/A,,0,,,,,
5721,3919,92565208,CNSG09-8252,,,,,,,"Hyderabad, Telangana, India",25-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5722,3920,92566677,GEM/2025/B/6695291,,,,,,,"South 24 Parganas, West Bengal, India",27-09-2025,,100,,,,,,,N/A,,0,,,,,
5723,3923,92566826,GEM/2025/B/6632068,,,,,,,"Kaiga, Karnataka, India",06-10-2025,,20,,,,,,,N/A,,0,,,,,
5724,3924,92566851,GEM/2025/B/6661522,,,,,,,"Kolkata, West Bengal, India",08-10-2025,,429,,,,,,,N/A,,0,,,,,
5725,3927,92566950,GEM/2025/B/6694757,,,,,,,"New Delhi, Delhi, India",03-10-2025,,1,,,,,,,N/A,,0,,,,,
5726,3928,92566968,GEM/2025/B/6695723,,,,,,,"Gaya, Bihar, India",03-10-2025,,312,,,,,,,N/A,,0,,,,,
5727,3931,92567031,GEM/2025/B/6695070,,,,,,,"Mumbai, Maharashtra, India",09-10-2025,,12,,,,,,,N/A,,0,,,,,
5728,3932,92567051,GEM/2025/B/6693109,,,,,,,"New Delhi, Delhi, India",24-10-2025,19-09-2025,1,,,,,,,N/A,,0,,,,,
5729,3933,92567080,GEM/2025/B/6693779,,,,,,,"New Delhi, Delhi, India",27-09-2025,,231,,,,,,,N/A,,0,,,,,
5730,3934,92567081,GEM/2025/B/6693817,,,,,,,"Firozpur, Punjab, India",27-09-2025,,2964,,,,,,,N/A,,0,,,,,
5731,3935,92567120,GEM/2025/B/6694499,,,,,,,"Mandya, Karnataka, India",03-10-2025,,9158,,,,,,,N/A,,0,,,,,
5732,3936,92567141,GEM/2025/B/6694593,,,,,,,"Bangalore, Karnataka, India",20-10-2025,,4280,,,,,,,N/A,,0,,,,,
5733,3939,92567169,GEM/2025/B/6651807,,,,,,,"Pune, Maharashtra, India",27-09-2025,,24,,,,,,,N/A,,0,,,,,
5734,3941,92567184,GEM/2025/B/6671358,,,,,,,"Lucknow, Uttar Pradesh, India",15-10-2025,,1,,,,,,,N/A,,0,,,,,
5735,3942,92567185,GEM/2025/B/6671401,,,,,,,"Lucknow, Uttar Pradesh, India",15-10-2025,,1,,,,,,,N/A,,0,,,,,
5736,3944,92567231,GEM/2025/B/6604516,,,,,,,"Pune, Maharashtra, India",08-10-2025,,18,,,,,,,N/A,,0,,,,,
5737,3947,92567310,GEM/2025/B/6694230,,,,,,,"Rajouri, Jammu And Kashmir, India",27-09-2025,,4,,,,,,,N/A,,0,,,,,
5738,3948,92567338,GEM/2025/B/6694439,,,,,,,"Mangalore, Karnataka, India",03-10-2025,ref to doc,1,,,,,,,N/A,,0,,,,,
5739,3951,92569404,AIIMS/Admin/RES/76(II)/2025,,,,,,,"Jodhpur, Rajasthan, India",23-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5740,3952,92569405,AIIMS/Admin/RES/95/2025,,,,,,,"Jodhpur, Rajasthan, India",23-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5741,3953,92569406,AIIMSJ-PROC0PROP/17/2025-PROC,,,,,,,"Jodhpur, Rajasthan, India",07-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5742,3956,92571756,RC No GNS/30/2025,,,,,,,"Hyderabad, Telangana, India",26-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5743,3957,92572938,KBRE000311,,,,,,,"Bangalore, Karnataka, India",23-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5744,3958,92581461,CH253304,,,,,,,"Hubli, Karnataka, India",26-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5745,3959,92581509,13255752B,,,,,,,"Agra, Uttar Pradesh, India",23-09-2025,,,,,,,,,N/A,,0,,,,,
5746,3960,92581616,82253826,,,,,,,"New Delhi, Delhi, India",22-09-2025,,,,,,,,,N/A,,0,,,,,
5747,3961,92582139,CH253277A,,,,,,,"Mysore, Karnataka, India",04-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5748,3962,92582159,CH256694B,,,,,,,"Mysore, Karnataka, India",03-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5749,3963,92582232,82255015C,,,,,,,"New Delhi, Delhi, India",15-10-2025,,,,,,,,,N/A,,0,,,,,
5750,3964,92582287,02256554,,,,,,,"Chennai, Tamil Nadu, India",22-10-2025,,,,,,,,,N/A,,0,,,,,
5751,3965,92582296,LM255336D,,,,,,,"Hyderabad, Andhra Pradesh, India",08-10-2025,,,,,,,,,N/A,,0,,,,,
5752,3966,92582307,02256523,,,,,,,"Madurai, Tamil Nadu, India",22-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5753,3967,92582320,15255241,,,,,,,"Multi Location, Multi State, India",07-10-2025,,,,,,,,,N/A,,0,,,,,
5754,3968,92583991,845172-RGUKT/NZD/E-proc/Hospital/Supply and Delivery of Hospital Consumables for Laboratory/2025/T35,,,,,,,"Eluru, Andhra Pradesh, India",24-09-2025,,,,,,,,,N/A,,0,,,,,
5755,3969,92584821,HB256705,,,,,,,"Kanchrapara, West Bengal, India",09-10-2025,,,,,,,,,N/A,,0,,,,,
5756,3970,92584831,HB256561A,,,,,,,"Kanchrapara, West Bengal, India",08-10-2025,,,,,,,,,N/A,,0,,,,,
5757,3971,92584844,HB256650,,,,,,,"Kanchrapara, West Bengal, India",26-09-2025,,,,,,,,,N/A,,0,,,,,
5758,3972,92584852,82253278,,,,,,,"New Delhi, Delhi, India",22-09-2025,,,,,,,,,N/A,,0,,,,,
5759,3973,92584935,02256702,,,,,,,"Madurai, Tamil Nadu, India",24-10-2025,,,,,,,,,N/A,,0,,,,,
5760,3974,92584944,HB256353C,,,,,,,"Kanchrapara, West Bengal, India",26-09-2025,,,,,,,,,N/A,,0,,,,,
5761,3975,92586224,GEM/2025/B/6694380,,,,,,,"Jaipur, Rajasthan, India",03-10-2025,ref to doc,11746,,,,,,,N/A,,0,,,,,
5762,3978,92586886,GEM/2025/B/6696488,,,,,,,"Meerut, Uttar Pradesh, India",29-09-2025,ref to doc,267,,,,,,,N/A,,0,,,,,
5763,3979,92586946,GEM/2025/B/6696730,,,,,,,"Mathura, Uttar Pradesh, India",27-09-2025,ref to doc,2014,,,,,,,N/A,,0,,,,,
5764,3980,92587018,GEM/2025/B/6677034,,,,,,,"Pratapgarh, Uttar Pradesh, India",09-10-2025,ref to doc,129800,,,,,,,N/A,,0,,,,,
5765,3982,92591872,GEM/2025/B/6697089,,,,,,,"Tirunelvelli, Tamil Nadu, India",29-09-2025,ref to doc,257,,,,,,,N/A,,0,,,,,
5766,3985,88363735,GEM/2025/B/6123416,,,,,,,"New Delhi, Delhi, India",09-10-2025,ref to doc,1,,,,,,,N/A,,0,,,,,
5767,3986,92566734,GEM/2025/B/6636173,,,,,,,"Jorhat, Assam, India",03-10-2025,,19313,,,,,,,N/A,,0,,,,,
5768,3988,92581752,09254579A,,,,,,,"Danapur, Bihar, India",06-10-2025,,,,,,,,,N/A,,0,,,,,
5769,3989,92581852,02256745,,,,,,,"Thrissur, Kerala, India",24-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5770,3990,92581917,CH256397C,,,,,,,"Mysore, Karnataka, India",29-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5771,3991,92582064,02256845,,,,,,,"Thrissur, Kerala, India",06-10-2025,,,,,,,,,N/A,,0,,,,,
5772,3992,92584858,CH250016A,,,,,,,"Bangalore, Karnataka, India",06-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5773,3993,92585559,GEM/2025/B/6697027,,,,,,,"Kozhikode, Kerala, India",09-10-2025,ref to doc,14275,,,,,,,N/A,,0,,,,,
5774,3995,92586294,GEM/2025/B/6678762,,,,,,,"Mumbai, Maharashtra, India",03-10-2025,22-09-2025,35,,,,,,,N/A,,0,,,,,
5775,3997,92589921,GEM/2025/B/6692613,,,,,,,"Kargil, Jammu And Kashmir, India",29-09-2025,ref to doc,2072,,,,,,,N/A,,0,,,,,
5776,4000,92582309,22255671,,,,,,,"Sealdah, West Bengal, India",08-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5777,4002,92574721,,,,,,,,"Thiruvananthapuram, Kerala, India",24-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5778,4003,92574743,,,,,,,,"Multi Location, Multi State, India",06-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5779,4004,92574745,,,,,,,,"Multi Location, Multi State, India",06-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5780,4005,92574754,,,,,,,,"Multi Location, Multi State, India",06-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5781,4006,92574755,,,,,,,,"Multi Location, Multi State, India",23-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5782,4007,92581659,62254681A,,,,,,,"Chandrapur, Maharashtra, India",24-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5783,4008,92581756,02256586A,,,,,,,"Madurai, Tamil Nadu, India",29-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5784,4009,92582269,02256501,,,,,,,"Madurai, Tamil Nadu, India",22-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5785,4010,92590201,BMSIC/MEDICAL DEVICES/CONSUMABLES/25-10,,,,,,,"Not Classified, Bihar, India",15-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5786,4011,92591849,GEM/2025/B/6648032,,,,,,,"Kamrup, Assam, India",27-09-2025,ref to doc,261,,,,,,,N/A,,0,,,,,
5787,4012,92591864,GEM/2025/B/6654659,,,,,,,"Kamrup, Assam, India",27-09-2025,ref to doc,47751,,,,,,,N/A,,0,,,,,
5788,4013,92591884,GEM/2025/B/6696499,,,,,,,"Dimapur, Nagaland, India",08-10-2025,ref to doc,6235,,,,,,,N/A,,0,,,,,
5789,4014,92591885,GEM/2025/B/6696576,,,,,,,"Dhemaji, Assam, India",29-09-2025,ref to doc,285,,,,,,,N/A,,0,,,,,
5790,4015,92591910,GEM/2025/B/6634514,,,,,,,"Kamrup, Assam, India",27-09-2025,ref to doc,215762,,,,,,,N/A,,0,,,,,
5791,4016,92591998,GEM/2025/B/6634298,,,,,,,"Kamrup, Assam, India",03-11-2025,,309,,,,,,,N/A,,0,,,,,
5792,4017,92592132,DHFWS/2025-26/IND1819,,,,,,,"Yadgir, Karnataka, India",07-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5793,4018,92593490,,,,,,,,"Katni, Madhya Pradesh, India",25-09-2025,,,,,,,,,N/A,,0,,,,,
5794,4019,92593873,2025_ARMY_731446_1,,,,,,,"Jaipur, Rajasthan, India",19-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5795,4020,92593883,2025_ARMY_731433_1,,,,,,,"Jaipur, Rajasthan, India",19-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5796,4022,92598451,GEM/2025/B/6562474,,,,,,,"Port Blair, Andaman And Nicobar Islands, India",06-10-2025,,44,,,,,,,N/A,,0,,,,,
5797,4023,92582053,CH250014B,,,,,,,"Mysore, Karnataka, India",04-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5798,4024,92592163,KPTCL/2025-26/IND0186/CALL-2,,,,,,,"Tumkur, Karnataka, India",30-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5799,4026,92596913,2025_DFHW_115083_1,,,,,,,"Bilaspur, Himachal Pradesh, India",13-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5800,4027,92572127,,,,,,,,"Multi Location, Multi State, India",30-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5801,4028,92578364,Tender No. DCS.96/RUSAT4F/2025/EQUIPMENT/Server for Edge Computing/1,,,,,,,"Kochi, Kerala, India",09-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5802,4029,92575257,RAILTEL/ER/MKT/EOI/2025-26/050,,,,,,,"Bhubaneswar, Orissa, India",22-09-2025,,,,,,,,,N/A,,0,,,,,
5803,4033,92596797,GEM/2025/B/6634385,,,,,,,"Pune, Maharashtra, India",09-10-2025,,78,,,,,,,N/A,,0,,,,,
5804,4034,92596813,GEM/2025/B/6675408,,,,,,,"Jabalpur, Madhya Pradesh, India",24-10-2025,,75,,,,,,,N/A,,0,,,,,
5805,4035,92596859,GEM/2025/B/6635181,,,,,,,"Udhampur, Jammu And Kashmir, India",17-10-2025,,825,,,,,,,N/A,,0,,,,,
5806,4039,92597956,GEM/2025/B/6638939,,,,,,,"Korea, Chhattisgarh, India",09-10-2025,ref to doc,12,,,,,,,N/A,,0,,,,,
5807,4040,92597983,GEM/2025/B/6630461,,,,,,,"Udhampur, Jammu And Kashmir, India",29-09-2025,,9387,,,,,,,N/A,,0,,,,,
5808,4042,92598252,GEM/2025/B/6697391,,,,,,,"Jammu, Jammu And Kashmir, India",30-09-2025,,200,,,,,,,N/A,,0,,,,,
5809,4043,92598312,GEM/2025/B/6602709,,,,,,,"New Delhi, Delhi, India",16-10-2025,,51819,,,,,,,N/A,,0,,,,,
5810,4044,92598317,GEM/2025/B/6661942,,,,,,,"Jorhat, Assam, India",29-09-2025,,132,,,,,,,N/A,,0,,,,,
5811,4045,92598386,GEM/2025/B/6698219,,,,,,,"Jhajjar, Haryana, India",09-10-2025,,3000,,,,,,,N/A,,0,,,,,
5812,4047,92598501,GEM/2025/B/6697922,,,,,,,"Kozhikode, Kerala, India",09-10-2025,,109,,,,,,,N/A,,0,,,,,
5813,4049,92598519,GEM/2025/B/6697996,,,,,,,"Lucknow, Uttar Pradesh, India",29-09-2025,,19,,,,,,,N/A,,0,,,,,
5814,4050,92598534,GEM/2025/B/6698092,,,,,,,"Hyderabad, Telangana, India",29-09-2025,,63,,,,,,,N/A,,0,,,,,
5815,4051,92598540,GEM/2025/B/6698128,,,,,,,"Mumbai, Maharashtra, India",10-10-2025,,1305,,,,,,,N/A,,0,,,,,
5816,4052,92598557,GEM/2025/B/6672095,,,,,,,"Hyderabad, Telangana, India",09-10-2025,,26,,,,,,,N/A,,0,,,,,
5817,4053,92598597,GEM/2025/B/6548293,,,,,,,"Mumbai, Maharashtra, India",29-09-2025,,504,,,,,,,N/A,,0,,,,,
5818,4054,92598602,GEM/2025/B/6549130,,,,,,,"Uttara Kannada, Karnataka, India",07-10-2025,,113,,,,,,,N/A,,0,,,,,
5819,4055,92598606,GEM/2025/B/6662626,,,,,,,"Hyderabad, Telangana, India",18-10-2025,,3,,,,,,,N/A,,0,,,,,
5820,4056,92598613,GEM/2025/B/6695352,,,,,,,"Visakhapatnam, Andhra Pradesh, India",08-10-2025,,9,,,,,,,N/A,,0,,,,,
5821,4057,92598623,GEM/2025/B/6667241,,,,,,,"Hyderabad, Telangana, India",09-10-2025,,161,,,,,,,N/A,,0,,,,,
5822,4058,92598630,GEM/2025/B/6549346,,,,,,,"Mumbai, Maharashtra, India",29-09-2025,,252,,,,,,,N/A,,0,,,,,
5823,4059,92598674,GEM/2025/B/6683088,,,,,,,"Jammu, Jammu And Kashmir, India",03-10-2025,,51505,,,,,,,N/A,,0,,,,,
5824,4060,92598719,GEM/2025/B/6534393,,,,,,,"Pune, Maharashtra, India",09-10-2025,,375,,,,,,,N/A,,0,,,,,
5825,4062,92598724,GEM/2025/B/6619289,,,,,,,"Agra, Uttar Pradesh, India",10-10-2025,06-10-2025,4690,,,,,,,N/A,,0,,,,,
5826,4066,92599893,2025_AIMSD_878021_1,,,,,,,"New Delhi, Delhi, India",16-10-2025,,,,,,,,,N/A,,0,,,,,
5827,4067,92599895,2025_AIMSD_878025_1,,,,,,,"New Delhi, Delhi, India",17-10-2025,,,,,,,,,N/A,,0,,,,,
5828,4069,92600027,2025_ILTD_249301_1,,,,,,,"Palakkad, Kerala, India",23-09-2025,,,,,,,,,N/A,,0,,,,,
5829,4072,92573641,2025260237/MM-1/IITR/2025-26/Consumables for iPSC deri/BIO/226,,,,,,,"Roorkee, Uttarakhand, India",24-09-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5830,4075,92598636,GEM/2025/B/6671651,,,,,,,"Angul, Orissa, India",30-10-2025,19-09-2025,1,,,,,,,N/A,,0,,,,,
5831,4076,92598693,GEM/2025/B/6494111,,,,,,,"Mumbai, Maharashtra, India",29-09-2025,,24,,,,,,,N/A,,0,,,,,
5832,4077,92598695,GEM/2025/B/6494195,,,,,,,"Mumbai, Maharashtra, India",29-09-2025,,60,,,,,,,N/A,,0,,,,,
5833,4078,89810299,GEM/2025/B/6380678,,,,,,,"Dharwad, Karnataka, India",20-09-2025,ref to doc,15904,,,,,,,N/A,,0,,,,,
5834,4079,92602048,2025_JIPMP_878103_1,,,,,,,"Pondicherry, Puducherry, India",16-10-2025,,,,,,,,,N/A,,0,,,,,
5835,4081,92602246,GEM/2025/B/6698611,,,,,,,"Udhampur, Jammu And Kashmir, India",29-09-2025,,6,,,,,,,N/A,,0,,,,,
5836,4082,92602248,GEM/2025/B/6698630,,,,,,,"Varanasi, Uttar Pradesh, India",29-09-2025,,1495,,,,,,,N/A,,0,,,,,
5837,4084,92602329,GEM/2025/B/6587811,,,,,,,"Nadia, West Bengal, India",09-10-2025,03-10-2025,1,,,,,,,N/A,,0,,,,,
5838,4085,92602992,GEM/2025/B/6699447,,,,,,,"New Delhi, Delhi, India",29-09-2025,,176,,,,,,,N/A,,0,,,,,
5839,4089,92604313,2025_DMER_150238_1,,,,,,,"Faridkot, Punjab, India",13-10-2025,,,,,,,,,N/A,,0,,,,,
5840,4092,92604852,4658,,,,,,,"Ludhiana, Punjab, India",01-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5841,4093,92605715,Memo No: CMOH/BIR/4115,,,,,,,"Birbhum, West Bengal, India",08-10-2025,ref to doc,,,,,,,,N/A,,0,,,,,
5842,4095,92605880,GEM/2025/B/6535383,,,,,,,"Chandigarh Ut, Chandigarh, India",09-10-2025,,1,,,,,,,N/A,,0,,,,,
5843,4096,92605893,GEM/2025/B/6638554,,,,,,,"Baghpat, Uttar Pradesh, India",29-09-2025,,18,,,,,,,N/A,,0,,,,,
5844,4097,92605914,GEM/2025/B/6692472,,,,,,,"Kohima, Nagaland, India",29-09-2025,,17,,,,,,,N/A,,0,,,,,
5845,4098,92606231,GEM/2025/B/6699631,,,,,,,"Bangalore, Karnataka, India",30-10-2025,,1,,,,,,,N/A,,0,,,,,
5846,4099,92606295,GEM/2025/B/6698979,,,,,,,"Mumbai, Maharashtra, India",16-10-2025,ref to doc,135,,,,,,,N/A,,0,,,,,
5847,4100,92606307,GEM/2025/B/6699063,,,,,,,"Ghaziabad, Uttar Pradesh, India",29-09-2025,,68,,,,,,,N/A,,0,,,,,
5848,4101,92606341,GEM/2025/B/6699837,,,,,,,"Jhajjar, Haryana, India",09-10-2025,ref to doc,120,,,,,,,N/A,,0,,,,,
5849,4105,92606488,GEM/2025/B/6700487,,,,,,,"Jhajjar, Haryana, India",09-10-2025,,2660,,,,,,,N/A,,0,,,,,
5850,4107,92606625,GEM/2025/B/6700646,,,,,,,"Nilgiris, Tamil Nadu, India",03-10-2025,,145,,,,,,,N/A,,0,,,,,
